Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
26/04/2023 23:45,Real Madrid,Tyson,Benfica Lisbon,General,4,3,ENDED
26/04/2023 23:45,Bayern München,Krouks,Chelsea,Pipis,3,4,ENDED
26/04/2023 23:30,Real Madrid,Tyson,Inter Milan,aibothard,4,0,ENDED
26/04/2023 23:30,Benfica Lisbon,General,Chelsea,Pipis,5,1,ENDED
26/04/2023 23:15,Bayern München,Krouks,Real Madrid,Tyson,1,4,ENDED
26/04/2023 23:15,Benfica Lisbon,General,Inter Milan,aibothard,2,2,ENDED
26/04/2023 23:00,Bayern München,Krouks,Benfica Lisbon,General,2,5,ENDED
26/04/2023 23:00,Chelsea,Pipis,Inter Milan,aibothard,4,3,ENDED
26/04/2023 22:45,Bayern München,Krouks,Inter Milan,aibothard,4,3,ENDED
26/04/2023 22:45,Chelsea,Pipis,Real Madrid,Tyson,1,4,ENDED
26/04/2023 22:30,Benfica Lisbon,General,Real Madrid,Tyson,3,1,ENDED
26/04/2023 22:30,Chelsea,Pipis,Bayern München,Krouks,3,2,ENDED
26/04/2023 22:15,Inter Milan,aibothard,Real Madrid,Tyson,1,1,ENDED
26/04/2023 22:15,Chelsea,Pipis,Benfica Lisbon,General,4,7,ENDED
26/04/2023 22:00,Real Madrid,Tyson,Bayern München,Krouks,3,1,ENDED
26/04/2023 22:00,Inter Milan,aibothard,Benfica Lisbon,General,4,3,ENDED
26/04/2023 21:30,Sporting C.P,Nio,Feyenord Rotterdam,Mad,1,1,ENDED
26/04/2023 21:30,Juventus Turin,Danny,Fenerbahce Istanbul,Cantona,0,3,ENDED
26/04/2023 21:15,Juventus Turin,Danny,Feyenord Rotterdam,Mad,4,1,ENDED
26/04/2023 21:15,Manchester United,Votepeace,Fenerbahce Istanbul,Cantona,2,2,ENDED
26/04/2023 21:00,Manchester United,Votepeace,Sporting C.P,Nio,4,3,ENDED
26/04/2023 21:00,Feyenord Rotterdam,Mad,Fenerbahce Istanbul,Cantona,1,2,ENDED
26/04/2023 20:45,Manchester United,Votepeace,Juventus Turin,Danny,2,4,ENDED
26/04/2023 20:45,Sporting C.P,Nio,Fenerbahce Istanbul,Cantona,3,3,ENDED
26/04/2023 20:30,Feyenord Rotterdam,Mad,Manchester United,Votepeace,2,4,ENDED
26/04/2023 20:30,Sporting C.P,Nio,Juventus Turin,Danny,3,3,ENDED
26/04/2023 20:15,Feyenord Rotterdam,Mad,Sporting C.P,Nio,3,4,ENDED
26/04/2023 20:15,Fenerbahce Istanbul,Cantona,Juventus Turin,Danny,3,6,ENDED
26/04/2023 20:00,Feyenord Rotterdam,Mad,Juventus Turin,Danny,5,4,ENDED
26/04/2023 20:00,Fenerbahce Istanbul,Cantona,Manchester United,Votepeace,3,4,ENDED
26/04/2023 19:45,Sporting C.P,Nio,Manchester United,Votepeace,4,1,ENDED
26/04/2023 19:45,Fenerbahce Istanbul,Cantona,Feyenord Rotterdam,Mad,3,0,ENDED
26/04/2023 19:30,Juventus Turin,Danny,Manchester United,Votepeace,3,5,ENDED
26/04/2023 19:30,Fenerbahce Istanbul,Cantona,Sporting C.P,Nio,2,2,ENDED
26/04/2023 19:15,Manchester United,Votepeace,Feyenord Rotterdam,Mad,2,1,ENDED
26/04/2023 19:15,Juventus Turin,Danny,Sporting C.P,Nio,0,4,ENDED
26/04/2023 19:00,Arsenal,Nio,Manchester City,Mad,2,2,ENDED
26/04/2023 19:00,Newcastle Utd,Danny,Manchester United,Cantona,1,5,ENDED
26/04/2023 18:45,Newcastle Utd,Danny,Manchester City,Mad,3,3,ENDED
26/04/2023 18:45,Tottenham,Votepeace,Manchester United,Cantona,6,1,ENDED
26/04/2023 18:30,Tottenham,Votepeace,Arsenal,Nio,3,0,ENDED
26/04/2023 18:30,Manchester City,Mad,Manchester United,Cantona,4,3,ENDED
26/04/2023 18:15,Tottenham,Votepeace,Newcastle Utd,Danny,1,4,ENDED
26/04/2023 18:15,Arsenal,Nio,Manchester United,Cantona,2,1,ENDED
26/04/2023 18:00,Manchester City,Mad,Tottenham,Votepeace,3,2,ENDED
26/04/2023 18:00,Arsenal,Nio,Newcastle Utd,Danny,4,0,ENDED
26/04/2023 17:30,Manchester City,Mad,Arsenal,Nio,3,4,ENDED
26/04/2023 17:30,Manchester United,Cantona,Newcastle Utd,Danny,4,1,ENDED
26/04/2023 17:15,Manchester City,Mad,Newcastle Utd,Danny,4,0,ENDED
26/04/2023 17:15,Manchester United,Cantona,Tottenham,Votepeace,6,4,ENDED
26/04/2023 17:00,Arsenal,Nio,Tottenham,Votepeace,1,5,ENDED
26/04/2023 17:00,Manchester United,Cantona,Manchester City,Mad,3,1,ENDED
