Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
30/01/2023 23:45,Tottenham,Nasmi,Borussia Dortmund,Cliff,3,3,ENDED
30/01/2023 23:45,Chelsea,Nazario,SSC Napoli,Danny,4,1,ENDED
30/01/2023 23:30,FC Porto,Mars,SSC Napoli,Danny,2,4,ENDED
30/01/2023 23:30,Chelsea,Nazario,Tottenham,Nasmi,2,2,ENDED
30/01/2023 23:15,Borussia Dortmund,Cliff,SSC Napoli,Danny,2,1,ENDED
30/01/2023 23:15,Chelsea,Nazario,FC Porto,Mars,3,3,ENDED
30/01/2023 23:00,SSC Napoli,Danny,Tottenham,Nasmi,1,3,ENDED
30/01/2023 23:00,Borussia Dortmund,Cliff,FC Porto,Mars,4,2,ENDED
30/01/2023 22:30,Eintracht Frankfurt,Nero,AC Milan,val,1,2,ENDED
30/01/2023 22:30,Benfica Lisbon,aibothard,Inter Milan,Brand,4,3,ENDED
30/01/2023 22:15,Benfica Lisbon,aibothard,AC Milan,val,1,1,ENDED
30/01/2023 22:15,Leipzig,billiot,Inter Milan,Brand,3,3,ENDED
30/01/2023 22:00,Leipzig,billiot,Eintracht Frankfurt,Nero,1,3,ENDED
30/01/2023 22:00,AC Milan,val,Inter Milan,Brand,2,3,ENDED
30/01/2023 21:45,Leipzig,billiot,Benfica Lisbon,aibothard,2,2,ENDED
30/01/2023 21:45,Eintracht Frankfurt,Nero,Inter Milan,Brand,5,3,ENDED
30/01/2023 21:30,AC Milan,val,Leipzig,billiot,2,0,ENDED
30/01/2023 21:30,Eintracht Frankfurt,Nero,Benfica Lisbon,aibothard,1,0,ENDED
30/01/2023 21:15,AC Milan,val,Eintracht Frankfurt,Nero,3,1,ENDED
30/01/2023 21:15,Inter Milan,Brand,Benfica Lisbon,aibothard,3,0,ENDED
30/01/2023 21:00,AC Milan,val,Benfica Lisbon,aibothard,2,1,ENDED
30/01/2023 21:00,Inter Milan,Brand,Leipzig,billiot,3,1,ENDED
30/01/2023 20:45,Eintracht Frankfurt,Nero,Leipzig,billiot,1,0,ENDED
