Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
22/03/2023 23:45,Bayern München,aibothard,SSC Napoli,Votepeace,2,2,ENDED
22/03/2023 23:45,Manchester City,Gorilla,Chelsea,JohnyBeGood,2,0,ENDED
22/03/2023 23:30,Real Madrid,Tyson,Chelsea,JohnyBeGood,1,3,ENDED
22/03/2023 23:30,Manchester City,Gorilla,Bayern München,aibothard,2,3,ENDED
22/03/2023 23:15,SSC Napoli,Votepeace,Chelsea,JohnyBeGood,3,2,ENDED
22/03/2023 23:15,Manchester City,Gorilla,Real Madrid,Tyson,1,2,ENDED
22/03/2023 23:00,Chelsea,JohnyBeGood,Bayern München,aibothard,0,4,ENDED
22/03/2023 23:00,SSC Napoli,Votepeace,Real Madrid,Tyson,4,4,ENDED
22/03/2023 22:30,Inter Milan,Lio,AC Milan,Spex,2,1,ENDED
22/03/2023 22:30,Manchester City,tommy,Bayern München,Rafa,2,4,ENDED
22/03/2023 22:15,Manchester City,tommy,AC Milan,Spex,4,3,ENDED
22/03/2023 22:15,Real Madrid,General,Bayern München,Rafa,1,3,ENDED
22/03/2023 22:00,Real Madrid,General,Inter Milan,Lio,3,4,ENDED
22/03/2023 22:00,AC Milan,Spex,Bayern München,Rafa,4,1,ENDED
22/03/2023 21:45,Real Madrid,General,Manchester City,tommy,0,0,ENDED
22/03/2023 21:45,Inter Milan,Lio,Bayern München,Rafa,3,3,ENDED
22/03/2023 21:30,AC Milan,Spex,Real Madrid,General,1,2,ENDED
22/03/2023 21:30,Inter Milan,Lio,Manchester City,tommy,3,3,ENDED
22/03/2023 21:15,AC Milan,Spex,Inter Milan,Lio,5,0,ENDED
22/03/2023 21:15,Bayern München,Rafa,Manchester City,tommy,3,4,ENDED
22/03/2023 21:00,AC Milan,Spex,Manchester City,tommy,3,2,ENDED
22/03/2023 21:00,Bayern München,Rafa,Real Madrid,General,2,1,ENDED
22/03/2023 20:45,Inter Milan,Lio,Real Madrid,General,4,5,ENDED
22/03/2023 20:45,Bayern München,Rafa,AC Milan,Spex,1,2,ENDED
22/03/2023 20:30,Manchester City,tommy,Real Madrid,General,3,4,ENDED
22/03/2023 20:30,Bayern München,Rafa,Inter Milan,Lio,6,2,ENDED
22/03/2023 20:15,Real Madrid,General,AC Milan,Spex,1,3,ENDED
22/03/2023 20:15,Manchester City,tommy,Inter Milan,Lio,3,2,ENDED
22/03/2023 20:00,Besiktas,Lio,Istanbul Basaksehir,Spex,4,6,ENDED
22/03/2023 20:00,Fenerbahce Istanbul,tommy,Trabzonspor,Rafa,0,6,ENDED
22/03/2023 19:45,Fenerbahce Istanbul,tommy,Istanbul Basaksehir,Spex,2,0,ENDED
22/03/2023 19:45,Galatasaray,General,Trabzonspor,Rafa,3,6,ENDED
22/03/2023 19:30,Galatasaray,General,Besiktas,Lio,2,2,ENDED
22/03/2023 19:30,Istanbul Basaksehir,Spex,Trabzonspor,Rafa,3,1,ENDED
22/03/2023 19:15,Galatasaray,General,Fenerbahce Istanbul,tommy,2,2,ENDED
22/03/2023 19:15,Besiktas,Lio,Trabzonspor,Rafa,3,2,ENDED
22/03/2023 19:00,Istanbul Basaksehir,Spex,Galatasaray,General,4,4,ENDED
22/03/2023 19:00,Besiktas,Lio,Fenerbahce Istanbul,tommy,5,4,ENDED
