Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
23/04/2023 23:45,Bayern München,Spex,Leipzig,val,2,1,ENDED
23/04/2023 23:45,Borussia Dortmund,Rafa,S.C Freiburg,Carnage,2,1,ENDED
23/04/2023 23:30,Bayern München,Spex,Union Berlin,tommy,1,1,ENDED
23/04/2023 23:30,Leipzig,val,S.C Freiburg,Carnage,2,2,ENDED
23/04/2023 23:15,Borussia Dortmund,Rafa,Bayern München,Spex,4,3,ENDED
23/04/2023 23:15,Leipzig,val,Union Berlin,tommy,2,2,ENDED
23/04/2023 23:00,Borussia Dortmund,Rafa,Leipzig,val,2,1,ENDED
23/04/2023 23:00,S.C Freiburg,Carnage,Union Berlin,tommy,4,2,ENDED
23/04/2023 22:45,Borussia Dortmund,Rafa,Union Berlin,tommy,4,1,ENDED
23/04/2023 22:45,S.C Freiburg,Carnage,Bayern München,Spex,2,0,ENDED
23/04/2023 22:30,Leipzig,val,Bayern München,Spex,1,3,ENDED
23/04/2023 22:30,S.C Freiburg,Carnage,Borussia Dortmund,Rafa,1,1,ENDED
23/04/2023 22:15,Union Berlin,tommy,Bayern München,Spex,0,4,ENDED
23/04/2023 22:15,S.C Freiburg,Carnage,Leipzig,val,2,1,ENDED
23/04/2023 22:00,Bayern München,Spex,Borussia Dortmund,Rafa,2,0,ENDED
23/04/2023 22:00,Union Berlin,tommy,Leipzig,val,1,2,ENDED
23/04/2023 21:30,SSC Napoli,Krouks,Real Madrid,General,3,4,ENDED
23/04/2023 21:30,Manchester City,Tyson,Bayern München,Gorilla,2,1,ENDED
23/04/2023 21:15,Manchester City,Tyson,Real Madrid,General,1,6,ENDED
23/04/2023 21:15,Benfica Lisbon,aibothard,Bayern München,Gorilla,2,2,ENDED
23/04/2023 21:00,Benfica Lisbon,aibothard,SSC Napoli,Krouks,5,4,ENDED
23/04/2023 21:00,Real Madrid,General,Bayern München,Gorilla,3,4,ENDED
23/04/2023 20:45,Benfica Lisbon,aibothard,Manchester City,Tyson,2,3,ENDED
23/04/2023 20:45,SSC Napoli,Krouks,Bayern München,Gorilla,5,6,ENDED
23/04/2023 20:30,Real Madrid,General,Benfica Lisbon,aibothard,5,1,ENDED
23/04/2023 20:30,SSC Napoli,Krouks,Manchester City,Tyson,5,1,ENDED
23/04/2023 20:15,Real Madrid,General,SSC Napoli,Krouks,6,6,ENDED
23/04/2023 20:15,Bayern München,Gorilla,Manchester City,Tyson,4,1,ENDED
23/04/2023 20:00,Real Madrid,General,Manchester City,Tyson,6,2,ENDED
23/04/2023 20:00,Bayern München,Gorilla,Benfica Lisbon,aibothard,1,2,ENDED
23/04/2023 19:45,SSC Napoli,Krouks,Benfica Lisbon,aibothard,5,4,ENDED
23/04/2023 19:45,Bayern München,Gorilla,Real Madrid,General,4,3,ENDED
23/04/2023 19:30,Manchester City,Tyson,Benfica Lisbon,aibothard,1,2,ENDED
23/04/2023 19:30,Bayern München,Gorilla,SSC Napoli,Krouks,7,3,ENDED
