Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
24/04/2023 23:45,Bayern München,Spex,Leipzig,val,4,2,ENDED
24/04/2023 23:45,Borussia Dortmund,Rafa,S.C Freiburg,Carnage,2,2,ENDED
24/04/2023 23:30,Bayern München,Spex,Union Berlin,Lio,3,0,ENDED
24/04/2023 23:30,Leipzig,val,S.C Freiburg,Carnage,2,3,ENDED
24/04/2023 23:15,Borussia Dortmund,Rafa,Bayern München,Spex,0,4,ENDED
24/04/2023 23:15,Leipzig,val,Union Berlin,Lio,3,5,ENDED
24/04/2023 23:00,Borussia Dortmund,Rafa,Leipzig,val,6,4,ENDED
24/04/2023 23:00,S.C Freiburg,Carnage,Union Berlin,Lio,4,3,ENDED
24/04/2023 22:45,Borussia Dortmund,Rafa,Union Berlin,Lio,1,2,ENDED
24/04/2023 22:45,S.C Freiburg,Carnage,Bayern München,Spex,2,2,ENDED
24/04/2023 22:30,Leipzig,val,Bayern München,Spex,2,2,ENDED
24/04/2023 22:30,S.C Freiburg,Carnage,Borussia Dortmund,Rafa,1,2,ENDED
24/04/2023 22:15,Union Berlin,Lio,Bayern München,Spex,4,2,ENDED
24/04/2023 22:15,S.C Freiburg,Carnage,Leipzig,val,1,2,ENDED
24/04/2023 22:00,Bayern München,Spex,Borussia Dortmund,Rafa,0,0,ENDED
24/04/2023 22:00,Union Berlin,Lio,Leipzig,val,2,2,ENDED
24/04/2023 21:30,FC Barcelona,Pontiac,Real Sociedad,Rocky,3,3,ENDED
24/04/2023 21:30,Real Betis,Magdy,Real Madrid,Mars,4,1,ENDED
24/04/2023 21:15,Real Betis,Magdy,Real Sociedad,Rocky,4,0,ENDED
24/04/2023 21:15,Atletico Madrid,Nasmi,Real Madrid,Mars,3,3,ENDED
24/04/2023 21:00,Atletico Madrid,Nasmi,FC Barcelona,Pontiac,3,2,ENDED
24/04/2023 21:00,Real Sociedad,Rocky,Real Madrid,Mars,3,4,ENDED
24/04/2023 20:45,Atletico Madrid,Nasmi,Real Betis,Magdy,0,5,ENDED
24/04/2023 20:45,FC Barcelona,Pontiac,Real Madrid,Mars,1,3,ENDED
24/04/2023 20:30,Real Sociedad,Rocky,Atletico Madrid,Nasmi,2,1,ENDED
24/04/2023 20:30,FC Barcelona,Pontiac,Real Betis,Magdy,4,5,ENDED
24/04/2023 20:15,Real Sociedad,Rocky,FC Barcelona,Pontiac,1,1,ENDED
24/04/2023 20:15,Real Madrid,Mars,Real Betis,Magdy,3,2,ENDED
24/04/2023 20:00,Real Sociedad,Rocky,Real Betis,Magdy,0,5,ENDED
24/04/2023 20:00,Real Madrid,Mars,Atletico Madrid,Nasmi,2,3,ENDED
24/04/2023 19:45,FC Barcelona,Pontiac,Atletico Madrid,Nasmi,7,2,ENDED
24/04/2023 19:45,Real Madrid,Mars,Real Sociedad,Rocky,3,0,ENDED
24/04/2023 19:30,Real Betis,Magdy,Atletico Madrid,Nasmi,4,2,ENDED
24/04/2023 19:30,Real Madrid,Mars,FC Barcelona,Pontiac,5,3,ENDED
24/04/2023 19:15,Atletico Madrid,Nasmi,Real Sociedad,Rocky,3,1,ENDED
24/04/2023 19:15,Real Betis,Magdy,FC Barcelona,Pontiac,6,2,ENDED
24/04/2023 19:00,SSC Napoli,Pontiac,Real Madrid,Rocky,2,3,ENDED
24/04/2023 19:00,Manchester City,Magdy,Bayern München,Mars,1,3,ENDED
24/04/2023 18:45,Manchester City,Magdy,Real Madrid,Rocky,3,2,ENDED
24/04/2023 18:45,Benfica Lisbon,Nasmi,Bayern München,Mars,0,1,ENDED
24/04/2023 18:30,Benfica Lisbon,Nasmi,SSC Napoli,Pontiac,4,5,ENDED
24/04/2023 18:30,Real Madrid,Rocky,Bayern München,Mars,2,2,ENDED
24/04/2023 18:15,Benfica Lisbon,Nasmi,Manchester City,Magdy,0,2,ENDED
24/04/2023 18:15,SSC Napoli,Pontiac,Bayern München,Mars,0,2,ENDED
24/04/2023 18:00,Real Madrid,Rocky,Benfica Lisbon,Nasmi,2,1,ENDED
24/04/2023 18:00,SSC Napoli,Pontiac,Manchester City,Magdy,2,5,ENDED
24/04/2023 17:30,Real Madrid,Rocky,SSC Napoli,Pontiac,5,2,ENDED
24/04/2023 17:30,Bayern München,Mars,Manchester City,Magdy,2,1,ENDED
24/04/2023 17:15,Real Madrid,Rocky,Manchester City,Magdy,4,1,ENDED
24/04/2023 17:15,Bayern München,Mars,Benfica Lisbon,Nasmi,4,1,ENDED
24/04/2023 17:00,SSC Napoli,Pontiac,Benfica Lisbon,Nasmi,4,2,ENDED
24/04/2023 17:00,Bayern München,Mars,Real Madrid,Rocky,4,3,ENDED
24/04/2023 16:45,Manchester City,Magdy,Benfica Lisbon,Nasmi,3,2,ENDED
24/04/2023 16:45,Bayern München,Mars,SSC Napoli,Pontiac,4,2,ENDED
24/04/2023 16:30,Benfica Lisbon,Nasmi,Real Madrid,Rocky,2,3,ENDED
24/04/2023 16:30,Manchester City,Magdy,SSC Napoli,Pontiac,2,7,ENDED
24/04/2023 16:15,Arsenal,Pontiac,Manchester City,Rocky,2,3,ENDED
24/04/2023 16:15,Newcastle Utd,Magdy,Manchester United,Mars,1,6,ENDED
24/04/2023 16:00,Newcastle Utd,Magdy,Manchester City,Rocky,5,1,ENDED
24/04/2023 16:00,Tottenham,Nasmi,Manchester United,Mars,3,1,ENDED
24/04/2023 15:45,Tottenham,Nasmi,Arsenal,Pontiac,2,2,ENDED
24/04/2023 15:45,Manchester City,Rocky,Manchester United,Mars,1,4,ENDED
24/04/2023 15:30,Tottenham,Nasmi,Newcastle Utd,Magdy,3,1,ENDED
24/04/2023 15:30,Arsenal,Pontiac,Manchester United,Mars,3,2,ENDED
24/04/2023 15:15,Manchester City,Rocky,Tottenham,Nasmi,2,4,ENDED
24/04/2023 15:15,Arsenal,Pontiac,Newcastle Utd,Magdy,2,4,ENDED
24/04/2023 15:00,Manchester City,Rocky,Arsenal,Pontiac,1,4,ENDED
24/04/2023 15:00,Manchester United,Mars,Newcastle Utd,Magdy,2,2,ENDED
24/04/2023 14:45,Manchester City,Rocky,Newcastle Utd,Magdy,2,0,ENDED
24/04/2023 14:45,Manchester United,Mars,Tottenham,Nasmi,1,1,ENDED
24/04/2023 14:30,Arsenal,Pontiac,Tottenham,Nasmi,2,4,ENDED
24/04/2023 14:30,Manchester United,Mars,Manchester City,Rocky,3,4,ENDED
24/04/2023 14:15,Newcastle Utd,Magdy,Tottenham,Nasmi,2,2,ENDED
24/04/2023 14:15,Manchester United,Mars,Arsenal,Pontiac,1,1,ENDED
24/04/2023 14:00,Tottenham,Nasmi,Manchester City,Rocky,4,0,ENDED
24/04/2023 14:00,Newcastle Utd,Magdy,Arsenal,Pontiac,4,1,ENDED
24/04/2023 13:30,Leipzig,Mad,Borussia Dortmund,Votepeace,2,4,ENDED
24/04/2023 13:30,Union Berlin,Nazario,S.C Freiburg,Cliff,1,1,ENDED
24/04/2023 13:15,Union Berlin,Nazario,Borussia Dortmund,Votepeace,3,1,ENDED
24/04/2023 13:15,Bayern München,Spencer,S.C Freiburg,Cliff,0,1,ENDED
24/04/2023 13:00,Bayern München,Spencer,Leipzig,Mad,2,2,ENDED
24/04/2023 13:00,Borussia Dortmund,Votepeace,S.C Freiburg,Cliff,3,1,ENDED
24/04/2023 12:45,Bayern München,Spencer,Union Berlin,Nazario,2,3,ENDED
24/04/2023 12:45,Leipzig,Mad,S.C Freiburg,Cliff,3,3,ENDED
24/04/2023 12:30,Borussia Dortmund,Votepeace,Bayern München,Spencer,3,3,ENDED
24/04/2023 12:30,Leipzig,Mad,Union Berlin,Nazario,7,2,ENDED
24/04/2023 12:15,Borussia Dortmund,Votepeace,Leipzig,Mad,4,5,ENDED
24/04/2023 12:15,S.C Freiburg,Cliff,Union Berlin,Nazario,1,2,ENDED
24/04/2023 12:00,Borussia Dortmund,Votepeace,Union Berlin,Nazario,3,3,ENDED
24/04/2023 12:00,S.C Freiburg,Cliff,Bayern München,Spencer,2,4,ENDED
24/04/2023 11:45,Leipzig,Mad,Bayern München,Spencer,1,3,ENDED
24/04/2023 11:45,S.C Freiburg,Cliff,Borussia Dortmund,Votepeace,3,2,ENDED
24/04/2023 11:30,Union Berlin,Nazario,Bayern München,Spencer,3,5,ENDED
24/04/2023 11:30,S.C Freiburg,Cliff,Leipzig,Mad,2,1,ENDED
24/04/2023 11:15,Bayern München,Spencer,Borussia Dortmund,Votepeace,2,4,ENDED
24/04/2023 11:15,Union Berlin,Nazario,Leipzig,Mad,2,3,ENDED
24/04/2023 11:00,Sporting C.P,Mad,Feyenord Rotterdam,Votepeace,2,4,ENDED
24/04/2023 11:00,Juventus Turin,Nazario,Fenerbahce Istanbul,Cliff,3,2,ENDED
24/04/2023 10:45,Juventus Turin,Nazario,Feyenord Rotterdam,Votepeace,3,6,ENDED
24/04/2023 10:45,Manchester United,Spencer,Fenerbahce Istanbul,Cliff,2,2,ENDED
24/04/2023 10:30,Manchester United,Spencer,Sporting C.P,Mad,1,2,ENDED
24/04/2023 10:30,Feyenord Rotterdam,Votepeace,Fenerbahce Istanbul,Cliff,6,4,ENDED
24/04/2023 10:15,Manchester United,Spencer,Juventus Turin,Nazario,7,1,ENDED
24/04/2023 10:15,Sporting C.P,Mad,Fenerbahce Istanbul,Cliff,2,2,ENDED
24/04/2023 10:00,Feyenord Rotterdam,Votepeace,Manchester United,Spencer,2,3,ENDED
24/04/2023 10:00,Sporting C.P,Mad,Juventus Turin,Nazario,1,1,ENDED
24/04/2023 09:30,Feyenord Rotterdam,Votepeace,Sporting C.P,Mad,5,1,ENDED
24/04/2023 09:30,Fenerbahce Istanbul,Cliff,Juventus Turin,Nazario,0,1,ENDED
24/04/2023 09:15,Feyenord Rotterdam,Votepeace,Juventus Turin,Nazario,6,0,ENDED
24/04/2023 09:15,Fenerbahce Istanbul,Cliff,Manchester United,Spencer,1,3,ENDED
24/04/2023 09:00,Sporting C.P,Mad,Manchester United,Spencer,1,3,ENDED
24/04/2023 09:00,Fenerbahce Istanbul,Cliff,Feyenord Rotterdam,Votepeace,0,3,ENDED
24/04/2023 08:45,Juventus Turin,Nazario,Manchester United,Spencer,1,2,ENDED
24/04/2023 08:45,Fenerbahce Istanbul,Cliff,Sporting C.P,Mad,1,2,ENDED
24/04/2023 08:30,Manchester United,Spencer,Feyenord Rotterdam,Votepeace,2,3,ENDED
24/04/2023 08:30,Juventus Turin,Nazario,Sporting C.P,Mad,5,2,ENDED
24/04/2023 08:15,SSC Napoli,Mad,Real Madrid,Votepeace,1,2,ENDED
24/04/2023 08:15,Manchester City,Nazario,Bayern München,Cliff,4,3,ENDED
24/04/2023 08:00,Manchester City,Nazario,Real Madrid,Votepeace,1,2,ENDED
24/04/2023 08:00,Benfica Lisbon,Spencer,Bayern München,Cliff,4,5,ENDED
