Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
29/04/2023 23:45,Tottenham,Danny,Arsenal,Spencer,3,1,ENDED
29/04/2023 23:45,Manchester City,Nio,Manchester United,Mad,1,2,ENDED
29/04/2023 23:30,Tottenham,Danny,Newcastle Utd,Votepeace,4,1,ENDED
29/04/2023 23:30,Arsenal,Spencer,Manchester United,Mad,3,0,ENDED
29/04/2023 23:15,Manchester City,Nio,Tottenham,Danny,2,1,ENDED
29/04/2023 23:15,Arsenal,Spencer,Newcastle Utd,Votepeace,4,3,ENDED
29/04/2023 23:00,Manchester City,Nio,Arsenal,Spencer,2,4,ENDED
29/04/2023 23:00,Manchester United,Mad,Newcastle Utd,Votepeace,2,1,ENDED
29/04/2023 22:45,Manchester City,Nio,Newcastle Utd,Votepeace,3,2,ENDED
29/04/2023 22:45,Manchester United,Mad,Tottenham,Danny,3,0,ENDED
29/04/2023 22:30,Arsenal,Spencer,Tottenham,Danny,2,3,ENDED
29/04/2023 22:30,Manchester United,Mad,Manchester City,Nio,5,3,ENDED
29/04/2023 22:15,Newcastle Utd,Votepeace,Tottenham,Danny,2,4,ENDED
29/04/2023 22:15,Manchester United,Mad,Arsenal,Spencer,4,4,ENDED
29/04/2023 22:00,Tottenham,Danny,Manchester City,Nio,5,1,ENDED
29/04/2023 22:00,Newcastle Utd,Votepeace,Arsenal,Spencer,4,1,ENDED
29/04/2023 21:30,Lazio,Carnage,Inter Milan,tommy,3,4,ENDED
29/04/2023 21:30,SSC Napoli,val,AC Milan,Nero,4,3,ENDED
29/04/2023 21:15,SSC Napoli,val,Inter Milan,tommy,6,5,ENDED
29/04/2023 21:15,Roma,Lio,AC Milan,Nero,4,2,ENDED
29/04/2023 21:00,Roma,Lio,Lazio,Carnage,3,1,ENDED
29/04/2023 21:00,Inter Milan,tommy,AC Milan,Nero,4,4,ENDED
29/04/2023 20:45,Roma,Lio,SSC Napoli,val,2,5,ENDED
29/04/2023 20:45,Lazio,Carnage,AC Milan,Nero,2,2,ENDED
29/04/2023 20:30,Inter Milan,tommy,Roma,Lio,4,6,ENDED
29/04/2023 20:30,Lazio,Carnage,SSC Napoli,val,3,2,ENDED
29/04/2023 20:15,Inter Milan,tommy,Lazio,Carnage,3,3,ENDED
29/04/2023 20:15,AC Milan,Nero,SSC Napoli,val,4,4,ENDED
29/04/2023 20:00,Inter Milan,tommy,SSC Napoli,val,7,4,ENDED
29/04/2023 20:00,AC Milan,Nero,Roma,Lio,3,4,ENDED
29/04/2023 19:45,Lazio,Carnage,Roma,Lio,2,1,ENDED
29/04/2023 19:45,AC Milan,Nero,Inter Milan,tommy,4,5,ENDED
29/04/2023 19:30,SSC Napoli,val,Roma,Lio,6,5,ENDED
29/04/2023 19:30,AC Milan,Nero,Lazio,Carnage,2,1,ENDED
29/04/2023 19:15,Roma,Lio,Inter Milan,tommy,6,5,ENDED
29/04/2023 19:15,SSC Napoli,val,Lazio,Carnage,2,5,ENDED
29/04/2023 19:00,FC Barcelona,Carnage,Real Sociedad,tommy,0,3,ENDED
29/04/2023 19:00,Real Betis,val,Real Madrid,Nero,4,3,ENDED
29/04/2023 18:45,Real Betis,val,Real Sociedad,tommy,3,3,ENDED
29/04/2023 18:45,Atletico Madrid,Lio,Real Madrid,Nero,2,5,ENDED
29/04/2023 18:30,Atletico Madrid,Lio,FC Barcelona,Carnage,2,3,ENDED
29/04/2023 18:30,Real Sociedad,tommy,Real Madrid,Nero,2,3,ENDED
29/04/2023 18:15,Atletico Madrid,Lio,Real Betis,val,2,1,ENDED
29/04/2023 18:15,FC Barcelona,Carnage,Real Madrid,Nero,2,2,ENDED
29/04/2023 18:00,Real Sociedad,tommy,Atletico Madrid,Lio,0,2,ENDED
29/04/2023 18:00,FC Barcelona,Carnage,Real Betis,val,3,1,ENDED
29/04/2023 17:30,Real Sociedad,tommy,FC Barcelona,Carnage,2,1,ENDED
29/04/2023 17:30,Real Madrid,Nero,Real Betis,val,1,1,ENDED
29/04/2023 17:15,Real Sociedad,tommy,Real Betis,val,1,3,ENDED
29/04/2023 17:15,Real Madrid,Nero,Atletico Madrid,Lio,0,3,ENDED
29/04/2023 17:00,FC Barcelona,Carnage,Atletico Madrid,Lio,2,1,ENDED
29/04/2023 17:00,Real Madrid,Nero,Real Sociedad,tommy,2,6,ENDED
29/04/2023 16:45,Real Betis,val,Atletico Madrid,Lio,2,0,ENDED
29/04/2023 16:45,Real Madrid,Nero,FC Barcelona,Carnage,1,3,ENDED
29/04/2023 16:30,Atletico Madrid,Lio,Real Sociedad,tommy,5,3,ENDED
29/04/2023 16:30,Real Betis,val,FC Barcelona,Carnage,3,2,ENDED
29/04/2023 16:15,Benfica Lisbon,Carnage,Bayern München,tommy,0,0,ENDED
29/04/2023 16:15,Inter Milan,val,Chelsea,Nero,2,4,ENDED
29/04/2023 16:00,Inter Milan,val,Bayern München,tommy,5,6,ENDED
29/04/2023 16:00,Real Madrid,Lio,Chelsea,Nero,6,2,ENDED
29/04/2023 15:45,Real Madrid,Lio,Benfica Lisbon,Carnage,1,2,ENDED
29/04/2023 15:45,Bayern München,tommy,Chelsea,Nero,4,4,ENDED
29/04/2023 15:30,Real Madrid,Lio,Inter Milan,val,5,3,ENDED
29/04/2023 15:30,Benfica Lisbon,Carnage,Chelsea,Nero,3,1,ENDED
29/04/2023 15:15,Bayern München,tommy,Real Madrid,Lio,3,3,ENDED
29/04/2023 15:15,Benfica Lisbon,Carnage,Inter Milan,val,3,2,ENDED
29/04/2023 15:00,Bayern München,tommy,Benfica Lisbon,Carnage,4,3,ENDED
29/04/2023 15:00,Chelsea,Nero,Inter Milan,val,5,1,ENDED
29/04/2023 14:45,Bayern München,tommy,Inter Milan,val,4,2,ENDED
29/04/2023 14:45,Chelsea,Nero,Real Madrid,Lio,1,0,ENDED
29/04/2023 14:30,Benfica Lisbon,Carnage,Real Madrid,Lio,2,3,ENDED
29/04/2023 14:30,Chelsea,Nero,Bayern München,tommy,2,4,ENDED
29/04/2023 14:15,Inter Milan,val,Real Madrid,Lio,0,1,ENDED
