Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
18/04/2023 23:45,Bayern München,Gorilla,Leipzig,General,6,4,ENDED
18/04/2023 23:45,Borussia Dortmund,Pipis,S.C Freiburg,Krouks,3,7,ENDED
18/04/2023 23:30,Bayern München,Gorilla,Union Berlin,aibothard,1,1,ENDED
18/04/2023 23:30,Leipzig,General,S.C Freiburg,Krouks,2,1,ENDED
18/04/2023 23:15,Borussia Dortmund,Pipis,Bayern München,Gorilla,5,3,ENDED
18/04/2023 23:15,Leipzig,General,Union Berlin,aibothard,2,2,ENDED
18/04/2023 23:00,Borussia Dortmund,Pipis,Leipzig,General,1,5,ENDED
18/04/2023 23:00,S.C Freiburg,Krouks,Union Berlin,aibothard,1,1,ENDED
18/04/2023 22:45,Borussia Dortmund,Pipis,Union Berlin,aibothard,3,4,ENDED
18/04/2023 22:45,S.C Freiburg,Krouks,Bayern München,Gorilla,2,3,ENDED
18/04/2023 22:30,Leipzig,General,Bayern München,Gorilla,2,3,ENDED
18/04/2023 22:30,S.C Freiburg,Krouks,Borussia Dortmund,Pipis,4,3,ENDED
18/04/2023 22:15,Union Berlin,aibothard,Bayern München,Gorilla,3,2,ENDED
18/04/2023 22:15,S.C Freiburg,Krouks,Leipzig,General,2,5,ENDED
18/04/2023 22:00,Bayern München,Gorilla,Borussia Dortmund,Pipis,3,2,ENDED
18/04/2023 22:00,Union Berlin,aibothard,Leipzig,General,1,3,ENDED
18/04/2023 21:30,Besiktas,Votepeace,Istanbul Basaksehir,billiot,4,6,ENDED
18/04/2023 21:30,Fenerbahce Istanbul,Spencer,Trabzonspor,Nio,2,2,ENDED
18/04/2023 21:15,Fenerbahce Istanbul,Spencer,Istanbul Basaksehir,billiot,3,4,ENDED
18/04/2023 21:15,Galatasaray,Mad,Trabzonspor,Nio,3,3,ENDED
18/04/2023 21:00,Galatasaray,Mad,Besiktas,Votepeace,2,4,ENDED
18/04/2023 21:00,Istanbul Basaksehir,billiot,Trabzonspor,Nio,2,3,ENDED
18/04/2023 20:45,Galatasaray,Mad,Fenerbahce Istanbul,Spencer,3,3,ENDED
18/04/2023 20:45,Besiktas,Votepeace,Trabzonspor,Nio,1,4,ENDED
18/04/2023 20:30,Istanbul Basaksehir,billiot,Galatasaray,Mad,2,4,ENDED
18/04/2023 20:30,Besiktas,Votepeace,Fenerbahce Istanbul,Spencer,5,3,ENDED
18/04/2023 20:15,Istanbul Basaksehir,billiot,Besiktas,Votepeace,5,4,ENDED
18/04/2023 20:15,Trabzonspor,Nio,Fenerbahce Istanbul,Spencer,2,1,ENDED
18/04/2023 20:00,Istanbul Basaksehir,billiot,Fenerbahce Istanbul,Spencer,1,2,ENDED
18/04/2023 20:00,Trabzonspor,Nio,Galatasaray,Mad,1,2,ENDED
18/04/2023 19:45,Besiktas,Votepeace,Galatasaray,Mad,5,3,ENDED
18/04/2023 19:45,Trabzonspor,Nio,Istanbul Basaksehir,billiot,1,3,ENDED
18/04/2023 19:30,Fenerbahce Istanbul,Spencer,Galatasaray,Mad,3,5,ENDED
18/04/2023 19:30,Trabzonspor,Nio,Besiktas,Votepeace,2,2,ENDED
18/04/2023 19:15,Galatasaray,Mad,Istanbul Basaksehir,billiot,1,3,ENDED
18/04/2023 19:15,Fenerbahce Istanbul,Spencer,Besiktas,Votepeace,4,2,ENDED
18/04/2023 19:00,FC Barcelona,Votepeace,Real Sociedad,billiot,2,4,ENDED
18/04/2023 19:00,Real Betis,Spencer,Real Madrid,Nio,1,2,ENDED
18/04/2023 18:45,Real Betis,Spencer,Real Sociedad,billiot,2,1,ENDED
18/04/2023 18:45,Atletico Madrid,Mad,Real Madrid,Nio,2,3,ENDED
18/04/2023 18:30,Atletico Madrid,Mad,FC Barcelona,Votepeace,4,2,ENDED
18/04/2023 18:30,Real Sociedad,billiot,Real Madrid,Nio,4,2,ENDED
18/04/2023 18:15,Atletico Madrid,Mad,Real Betis,Spencer,2,4,ENDED
18/04/2023 18:15,FC Barcelona,Votepeace,Real Madrid,Nio,4,5,ENDED
18/04/2023 18:00,Real Sociedad,billiot,Atletico Madrid,Mad,2,3,ENDED
18/04/2023 18:00,FC Barcelona,Votepeace,Real Betis,Spencer,4,2,ENDED
18/04/2023 17:30,Real Sociedad,billiot,FC Barcelona,Votepeace,2,4,ENDED
18/04/2023 17:30,Real Madrid,Nio,Real Betis,Spencer,2,3,ENDED
18/04/2023 17:15,Real Sociedad,billiot,Real Betis,Spencer,2,3,ENDED
18/04/2023 17:15,Real Madrid,Nio,Atletico Madrid,Mad,3,4,ENDED
18/04/2023 17:00,FC Barcelona,Votepeace,Atletico Madrid,Mad,6,3,ENDED
18/04/2023 17:00,Real Madrid,Nio,Real Sociedad,billiot,4,1,ENDED
