Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
13/05/2023 23:45,Fenerbahce Istanbul,Magdy,Leverkusen,Pontiac,2,2,ENDED
13/05/2023 23:45,Sevilla,Rocky,Juventus Turin,Nasmi,3,4,ENDED
13/05/2023 23:30,Fenerbahce Istanbul,Magdy,Manchester United,Ragnar,1,4,ENDED
13/05/2023 23:30,Leverkusen,Pontiac,Juventus Turin,Nasmi,3,2,ENDED
13/05/2023 23:15,Sevilla,Rocky,Fenerbahce Istanbul,Magdy,2,7,ENDED
13/05/2023 23:15,Leverkusen,Pontiac,Manchester United,Ragnar,1,6,ENDED
13/05/2023 23:00,Sevilla,Rocky,Leverkusen,Pontiac,2,5,ENDED
13/05/2023 23:00,Juventus Turin,Nasmi,Manchester United,Ragnar,4,2,ENDED
13/05/2023 22:45,Sevilla,Rocky,Manchester United,Ragnar,0,5,ENDED
13/05/2023 22:45,Juventus Turin,Nasmi,Fenerbahce Istanbul,Magdy,1,5,ENDED
13/05/2023 22:30,Leverkusen,Pontiac,Fenerbahce Istanbul,Magdy,3,4,ENDED
13/05/2023 22:30,Juventus Turin,Nasmi,Sevilla,Rocky,3,4,ENDED
13/05/2023 22:15,Manchester United,Ragnar,Fenerbahce Istanbul,Magdy,1,0,ENDED
13/05/2023 22:15,Juventus Turin,Nasmi,Leverkusen,Pontiac,0,4,ENDED
13/05/2023 22:00,Fenerbahce Istanbul,Magdy,Sevilla,Rocky,5,4,ENDED
13/05/2023 22:00,Manchester United,Ragnar,Leverkusen,Pontiac,2,1,ENDED
13/05/2023 21:30,AC Milan,Danny,Manchester City,Nio,2,2,ENDED
13/05/2023 21:30,Real Madrid,Cantona,Inter Milan,Mars,4,0,ENDED
13/05/2023 21:15,Real Madrid,Cantona,Manchester City,Nio,3,2,ENDED
13/05/2023 21:15,Bayern München,Nazario,Inter Milan,Mars,2,2,ENDED
13/05/2023 21:00,Bayern München,Nazario,AC Milan,Danny,4,3,ENDED
13/05/2023 21:00,Manchester City,Nio,Inter Milan,Mars,2,2,ENDED
13/05/2023 20:45,Bayern München,Nazario,Real Madrid,Cantona,1,7,ENDED
13/05/2023 20:45,AC Milan,Danny,Inter Milan,Mars,3,3,ENDED
13/05/2023 20:30,Manchester City,Nio,Bayern München,Nazario,3,5,ENDED
13/05/2023 20:30,AC Milan,Danny,Real Madrid,Cantona,3,2,ENDED
13/05/2023 20:15,Manchester City,Nio,AC Milan,Danny,4,2,ENDED
13/05/2023 20:15,Inter Milan,Mars,Real Madrid,Cantona,1,2,ENDED
13/05/2023 20:00,Manchester City,Nio,Real Madrid,Cantona,2,2,ENDED
13/05/2023 20:00,Inter Milan,Mars,Bayern München,Nazario,0,5,ENDED
13/05/2023 19:45,AC Milan,Danny,Bayern München,Nazario,2,4,ENDED
13/05/2023 19:45,Inter Milan,Mars,Manchester City,Nio,1,2,ENDED
13/05/2023 19:30,Real Madrid,Cantona,Bayern München,Nazario,1,2,ENDED
13/05/2023 19:30,Inter Milan,Mars,AC Milan,Danny,3,6,ENDED
13/05/2023 19:15,Bayern München,Nazario,Manchester City,Nio,1,3,ENDED
13/05/2023 19:15,Real Madrid,Cantona,AC Milan,Danny,3,5,ENDED
13/05/2023 19:00,Juventus Turin,Danny,Lazio,Nio,1,4,ENDED
13/05/2023 19:00,Roma,Cantona,AC Milan,Mars,2,1,ENDED
13/05/2023 18:45,Roma,Cantona,Lazio,Nio,1,2,ENDED
13/05/2023 18:45,SSC Napoli,Nazario,AC Milan,Mars,3,2,ENDED
13/05/2023 18:30,SSC Napoli,Nazario,Juventus Turin,Danny,7,4,ENDED
13/05/2023 18:30,Lazio,Nio,AC Milan,Mars,2,1,ENDED
13/05/2023 18:15,SSC Napoli,Nazario,Roma,Cantona,5,3,ENDED
13/05/2023 18:15,Juventus Turin,Danny,AC Milan,Mars,3,4,ENDED
13/05/2023 18:00,Lazio,Nio,SSC Napoli,Nazario,4,3,ENDED
13/05/2023 18:00,Juventus Turin,Danny,Roma,Cantona,2,2,ENDED
13/05/2023 17:30,Lazio,Nio,Juventus Turin,Danny,2,5,ENDED
13/05/2023 17:30,AC Milan,Mars,Roma,Cantona,3,6,ENDED
13/05/2023 17:15,Lazio,Nio,Roma,Cantona,3,2,ENDED
13/05/2023 17:15,AC Milan,Mars,SSC Napoli,Nazario,4,2,ENDED
13/05/2023 17:00,Juventus Turin,Danny,SSC Napoli,Nazario,3,4,ENDED
13/05/2023 17:00,AC Milan,Mars,Lazio,Nio,2,4,ENDED
13/05/2023 16:45,Roma,Cantona,SSC Napoli,Nazario,1,3,ENDED
13/05/2023 16:45,AC Milan,Mars,Juventus Turin,Danny,2,4,ENDED
13/05/2023 16:30,SSC Napoli,Nazario,Lazio,Nio,3,3,ENDED
13/05/2023 16:30,Roma,Cantona,Juventus Turin,Danny,2,5,ENDED
13/05/2023 16:15,Real Betis,Danny,Real Sociedad,Nio,1,3,ENDED
13/05/2023 16:15,Atletico Madrid,Cantona,FC Barcelona,Mars,2,3,ENDED
13/05/2023 16:00,Atletico Madrid,Cantona,Real Sociedad,Nio,3,5,ENDED
13/05/2023 16:00,Real Madrid,Nazario,FC Barcelona,Mars,2,3,ENDED
13/05/2023 15:45,Real Madrid,Nazario,Real Betis,Danny,3,2,ENDED
13/05/2023 15:45,Real Sociedad,Nio,FC Barcelona,Mars,2,4,ENDED
13/05/2023 15:30,Real Madrid,Nazario,Atletico Madrid,Cantona,2,2,ENDED
13/05/2023 15:30,Real Betis,Danny,FC Barcelona,Mars,2,4,ENDED
13/05/2023 15:15,Real Sociedad,Nio,Real Madrid,Nazario,2,1,ENDED
13/05/2023 15:15,Real Betis,Danny,Atletico Madrid,Cantona,1,1,ENDED
13/05/2023 15:00,Real Sociedad,Nio,Real Betis,Danny,4,2,ENDED
13/05/2023 15:00,FC Barcelona,Mars,Atletico Madrid,Cantona,1,2,ENDED
13/05/2023 14:45,Real Sociedad,Nio,Atletico Madrid,Cantona,7,6,ENDED
13/05/2023 14:45,FC Barcelona,Mars,Real Madrid,Nazario,1,1,ENDED
13/05/2023 14:30,Real Betis,Danny,Real Madrid,Nazario,2,0,ENDED
13/05/2023 14:30,FC Barcelona,Mars,Real Sociedad,Nio,1,1,ENDED
